Month;Avg. Players;Gain;% Gain;Peak Players
September 2023;23,152.6;-226.0;-0.97%;43,985
August 2023;23,378.5;+276.6;+1.20%;42
July 2023;23,102.0;-321.9;-1.37%;40,449
June 2023;23,423.8;-42.6;-0.18%;43,469
May 2023;23,466.5;-718.9;-2.97%;42,588
April 2023;24,185.4;-1,971.0;-7.54%;44,238
March 2023;26,156.5;+111.2;+0.43%;51,401
February 2023;26,045.3;-705.3;-2.64%;50,104
January 2023;26,750.6;+1,089.5;+4.25%;49,438
December 2022;25,661.1;+3,261.4;+14.56%;47,865
November 2022;22,399.7;-662.6;-2.87%;42,31
October 2022;23,062.3;-2,005.1;-8.00%;42,316
September 2022;25,067.3;+1,779.7;+7.64%;47,31
August 2022;23,287.7;-1,062.0;-4.36%;40,607
July 2022;24,349.6;-641.4;-2.57%;43,731
June 2022;24,991.0;+289.0;+1.17%;49,013
May 2022;24,702.0;-1,388.2;-5.32%;44,867
April 2022;26,090.2;+151.3;+0.58%;47,694
March 2022;25,939.0;-1,621.4;-5.88%;48,427
February 2022;27,560.4;-3,098.8;-10.11%;51,103
January 2022;30,659.2;+68.9;+0.23%;54,482
December 2021;30,590.2;-1,864.8;-5.75%;56,007
November 2021;32,455.0;+381.1;+1.19%;61,347
October 2021;32,073.9;-1,076.3;-3.25%;58,467
September 2021;33,150.2;-3,573.5;-9.73%;64,001
August 2021;36,723.7;+559.3;+1.55%;73,581
July 2021;36,164.4;-3,409.0;-8.61%;66,502
June 2021;39,573.4;-5,742.1;-12.67%;73,369
May 2021;45,315.5;-8,291.2;-15.47%;88,665
April 2021;53,606.7;+3,112.8;+6.16%;110,344
March 2021;50,493.8;-3,229.2;-6.01%;94,672
February 2021;53,723.0;-5,726.1;-9.63%;103,429
January 2021;59,449.2;-6,315.9;-9.60%;112,482
December 2020;65,765.1;-1,785.3;-2.64%;135,714
November 2020;67,550.4;-4,805.2;-6.64%;128,577
October 2020;72,355.6;+19,247.4;+36.24%;140,667
September 2020;53,108.2;+11,906.2;+28.90%;146,902
August 2020;41,202.0;-691.3;-1.65%;70,357
July 2020;41,893.3;+756.7;+1.84%;71,681
June 2020;41,136.6;-4,478.9;-9.82%;72,502
May 2020;45,615.6;-8,517.6;-15.73%;79,77
April 2020;54,133.2;+5,688.0;+11.74%;100,771
March 2020;48,445.1;+7,853.0;+19.35%;119,124
February 2020;40,592.2;-1,331.0;-3.17%;80,454
January 2020;41,923.1;+1,949.4;+4.88%;81,639
December 2019;39,973.7;+7,453.7;+22.92%;80,213
November 2019;32,520.0;-528.8;-1.60%;60,075
October 2019;33,048.8;+2,710.4;+8.93%;68,388
September 2019;30,338.4;-668.4;-2.16%;59,529
August 2019;31,006.7;-3,762.1;-10.82%;57,617
July 2019;34,768.8;-697.8;-1.97%;65,907
June 2019;35,466.6;+857.6;+2.48%;69,615
May 2019;34,609.0;+2,014.6;+6.18%;69,472
April 2019;32,594.4;+1,158.4;+3.69%;67,493
March 2019;31,435.9;-405.1;-1.27%;61,242
February 2019;31,841.0;-2,479.9;-7.23%;62,023
January 2019;34,320.9;-994.6;-2.82%;64,262
December 2018;35,315.5;+2,456.5;+7.48%;67,952
November 2018;32,859.0;-1,855.3;-5.34%;63,278
October 2018;34,714.2;-1,176.0;-3.28%;67,221
September 2018;35,890.2;+5,083.2;+16.50%;75,882
August 2018;30,807.0;-5,816.5;-15.88%;55,817
July 2018;36,623.5;+4,556.2;+14.21%;82,303
June 2018;32,067.3;+4,257.4;+15.31%;64,307
May 2018;27,809.9;-2,404.9;-7.96%;66,081
April 2018;30,214.8;-985.3;-3.16%;60,632
March 2018;31,200.1;-1,228.0;-3.79%;63,578
February 2018;32,428.1;-155.0;-0.48%;62,492
January 2018;32,583.1;-3,400.8;-9.45%;60,535
December 2017;35,983.9;+5,196.0;+16.88%;65,275
November 2017;30,788.0;-5,461.9;-15.07%;60,12
October 2017;36,249.8;+4,934.4;+15.76%;73,684
September 2017;31,315.4;+1,027.8;+3.39%;70,23
August 2017;30,287.7;-4,717.9;-13.48%;52,612
July 2017;35,005.6;+2,343.9;+7.18%;68,232
June 2017;32,661.8;-612.2;-1.84%;64,075
May 2017;33,273.9;-1,409.3;-4.06%;82,254
April 2017;34,683.2;+919.5;+2.72%;65,384
March 2017;33,763.7;+498.4;+1.50%;74,33
February 2017;33,265.3;-1,967.6;-5.58%;61,648
January 2017;35,232.8;+45.0;+0.13%;69,669
December 2016;35,187.9;+5,956.8;+20.38%;70,352
November 2016;29,231.0;-2,543.2;-8.00%;55,526
October 2016;31,774.3;-914.9;-2.80%;59,526
September 2016;32,689.2;+5,132.9;+18.63%;79,304
August 2016;27,556.3;-1,891.6;-6.42%;48,136
July 2016;29,447.9;+3,327.1;+12.74%;58,676
June 2016;26,120.8;+579.5;+2.27%;55,029
May 2016;25,541.3;-3,658.0;-12.53%;58,21
April 2016;29,199.3;+4,656.5;+18.97%;102,684
March 2016;24,542.8;-1,156.2;-4.50%;45,882
February 2016;25,699.0;+1,511.4;+6.25%;50,359
January 2016;24,187.6;+3,790.2;+18.58%;46,114
December 2015;20,397.4;+4,121.0;+25.32%;44,875
November 2015;16,276.4;-432.9;-2.59%;37,175
October 2015;16,709.3;-730.6;-4.19%;32,204
September 2015;17,439.9;-1,704.5;-8.90%;34,391
August 2015;19,144.3;+8,354.7;+77.43%;35,686
July 2015;10,789.6;+10,787.7;+561551.27%;29,027
